,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,hofn,64.2539,-15.2082,51.98,91,89,5.77,IS,1658547429
371,margate,51.3813,1.3862,60.89,84,100,1.99,GB,1658549123
372,ringebu,61.5167,10.1667,50.11,84,30,3.04,NO,1658543151
373,nishihara,26.1842,127.7558,88.88,75,75,13.8,JP,1658522980
374,west wendover,40.7391,-114.0733,96.01,12,0,13.8,US,1658492618
375,mount isa,-20.7333,139.5,67.77,32,0,11.5,AU,1658524586
376,bulungu,-4.55,18.6,75.74,69,92,1.7,CD,1658552102
377,khartoum,15.5518,32.5324,86.02,52,18,10.54,SD,1658546946
378,zanjan,36.6736,48.4787,63.34,56,0,5.66,IR,1658540670
379,tambovka,50.0969,128.0489,74.57,64,75,6.6,RU,1658519026
380,grajau,-5.8194,-46.1386,79.11,41,54,2.57,BR,1658481353
381,vung tau,10.346,107.0843,81.1,81,100,7.25,VN,1658529540
382,sirvintos,55.05,24.95,65.62,92,100,6.67,LT,1658542374
383,peachland,49.7665,-119.7357,91.47,37,66,1.99,CA,1658492152
384,bonnyville,54.2668,-110.735,60.6,76,100,5.32,CA,1658488733
385,selty,57.3132,52.1345,56.41,93,28,3.89,RU,1658535029
386,broome,42.2506,-75.833,72.16,90,40,3.44,US,1658483173
387,mogadishu,2.0371,45.3438,75.34,81,74,17.69,SO,1658545104
388,namatanai,-3.6667,152.4333,84.72,64,0,6.44,PG,1658519904
389,ilulissat,69.2167,-51.1,50.02,93,100,6.91,GL,0
390,alta floresta,-9.8756,-56.0861,75.31,40,66,1.77,BR,1658484105
391,nicoya,10.1483,-85.452,74.91,94,100,2.1,CR,1658489361
392,barentu,15.1139,37.5928,72.72,77,30,5.39,ER,1658545773
393,makokou,0.5738,12.8642,69.31,96,100,1.7,GA,1658553028
394,kangaba,11.9333,-8.4167,73.22,91,100,3.11,ML,1658557117
395,warri,5.5167,5.75,74.21,92,100,2.13,NG,1658554299
396,vanersborg,58.3807,12.3234,56.66,94,100,5.75,SE,1658544163
397,hualmay,-11.0964,-77.6139,61.99,83,66,9.08,PE,1658489382
398,mosquera,4.7059,-74.2302,55.49,88,40,2.3,CO,1658487161
399,novyy urengoy,66.0833,76.6333,50.58,72,100,8.3,RU,1658523629
400,vrangel,42.7297,133.0839,63.68,90,100,7.34,RU,1658519371
401,darnah,32.767,22.6367,76.41,69,0,11.12,LY,1658547416
402,choachi,4.529,-73.9227,63.99,97,98,2.01,CO,1658487103
403,chau doc,10.7,105.1167,80.78,78,100,2.33,VN,1658529979
404,sao joao da barra,-21.6403,-41.0511,71.47,88,0,13.51,BR,1658481619
405,mount gambier,-37.8333,140.7667,51.66,98,100,8.97,AU,1658526290
406,mecca,21.4267,39.8261,87.12,55,70,2.39,SA,1658544607
407,dicabisagan,17.0818,122.4157,86.81,67,77,1.74,PH,1658525220
408,singkang,2.1006,102.7994,77.99,90,99,1.34,MY,1658531308
409,kalmunai,7.4167,81.8167,78.55,86,69,6.02,LK,1658535871
410,salta,-24.7859,-65.4117,58.57,73,100,1.99,AR,1658487792
411,kurikka,62.6167,22.4167,56.84,97,100,5.23,FI,1658539544
412,ayolas,-27.4,-56.9,69.22,77,52,6.73,PY,1658486035
413,stepnyak,52.8339,70.7803,59.2,73,4,5.99,KZ,1658532049
414,mao,39.8885,4.2658,75.76,100,0,4.61,ES,1658550792
415,krasnyy kurgan,43.9422,42.6108,50.88,85,18,5.23,RU,1658540877
416,tessalit,20.1986,1.0114,93.25,22,55,4.27,ML,1658554052
417,ust-maya,60.4167,134.5333,81.27,52,100,2.75,RU,1658513845
418,okha,53.5739,142.9478,61.9,62,88,9.37,RU,1658514492
419,itarema,-2.9248,-39.9167,79.43,78,43,17.34,BR,1658479603
420,sfantu gheorghe,45.8667,25.7833,59.83,58,2,2.08,RO,1658544542
421,port blair,11.6667,92.75,80.28,85,99,7.07,IN,1658532858
422,scarborough,54.2797,-0.4044,55.81,86,100,7.25,GB,1658548715
423,marzuq,14.4,46.4667,77.2,57,60,6.69,YE,1658543711
424,praia da vitoria,38.7333,-27.0667,71.76,93,100,2.73,PT,1658558500
425,umm kaddadah,13.6017,26.6876,85.33,42,66,7.76,SD,1658548535
426,mandera,3.9366,41.867,75.18,58,81,16.91,KE,1658545771
427,bintulu,3.1667,113.0333,79.79,82,39,3.98,MY,1658528758
428,aligudarz,33.4006,49.6949,68.99,19,0,3.13,IR,1658540835
429,dawlatabad,36.4141,64.9053,88.5,12,18,9.04,AF,1658536763
430,auki,-8.7676,160.7034,86.36,60,0,3.49,SB,1658518373
431,ituacu,-13.8133,-41.2967,67.32,71,1,5.12,BR,1658480918
432,zyryanovsk,49.7386,84.2719,59.72,88,5,0.85,KZ,1658529630
433,goure,13.9835,10.2704,82.49,63,100,9.28,NE,1658552440
434,zaozerne,45.1582,33.2787,69.46,64,0,8.23,UA,1658542883
435,brigantine,39.4101,-74.3646,82.51,70,0,5.75,US,1658483301
436,cururupu,-1.8283,-44.8683,74.1,93,35,2.93,BR,1658480694
437,tiruchchendur,8.4833,78.1167,80.89,75,100,6.24,IN,1658536663
438,christchurch,-43.5333,172.6333,49.84,66,75,10.36,NZ,1658519539
439,najran,17.4924,44.1277,83.53,42,100,5.3,SA,1658543973
440,college,64.8569,-147.8028,60.98,63,75,9.22,US,1658492220
441,teguldet,57.3064,88.1667,57.15,98,100,8.52,RU,1658526373
442,puerto del rosario,28.5004,-13.8627,74.95,83,100,11.5,ES,1658556712
443,biak,-0.9131,122.8766,79.0,79,34,7.54,ID,1658526755
444,nizhniy tsasuchey,50.5167,115.1333,72.57,66,98,10.16,RU,1658522023
445,hohhot,40.8106,111.6522,70.43,47,2,5.48,CN,1658524852
446,santa maria,-29.6842,-53.8069,64.33,95,89,3.42,BR,1658485555
447,beringovskiy,63.05,179.3167,45.45,88,100,4.92,RU,1658501530
448,guerrero negro,27.9769,-114.0611,71.24,71,5,24.18,MX,1658494398
449,akyab,20.15,92.9,78.57,87,100,9.06,MM,1658531998
450,hami,42.8,93.45,88.47,14,0,4.07,CN,1658528877
451,sakakah,29.9697,40.2064,88.92,19,0,7.81,SA,1658543553
452,muborak,39.2553,65.1528,88.25,16,0,11.1,UZ,1658536272
453,urazovo,50.0836,38.0395,54.23,97,73,6.69,RU,1658540651
454,kirkuk,35.4681,44.3922,85.69,19,0,6.49,IQ,1658541824
455,novikovo,51.1537,37.8879,55.04,96,80,7.47,RU,1658540414
456,sunndalsora,62.6754,8.5515,51.76,91,68,2.77,NO,1658542841
457,price,39.5994,-110.8107,92.46,17,20,18.41,US,1658492022
458,mancio lima,-7.6142,-72.8958,76.37,68,3,2.73,BR,1658487935
459,qaqortoq,60.7167,-46.0333,45.5,84,44,6.55,GL,1658470557
460,lazaro cardenas,17.9583,-102.2,82.33,76,100,3.67,MX,1658492633
461,sept-iles,50.2001,-66.3821,61.05,93,79,0.63,CA,1658479228
462,kirksville,40.1948,-92.5833,86.4,75,0,0.0,US,1658487548
463,bastrop,32.7562,-91.8724,78.48,53,19,4.74,US,1658488473
464,kabanjahe,3.1001,98.4908,66.88,88,81,2.55,ID,1658532254
465,cranbrook,49.4999,-115.7688,78.64,29,75,10.36,CA,1658491265
466,edwardsville,38.8114,-89.9532,87.49,73,0,6.91,US,1658487139
467,chancay,-11.5714,-77.2672,61.45,84,28,6.04,PE,1658489343
468,kloulklubed,7.0419,134.2556,83.23,75,100,7.36,PW,1658523318
469,polunochnoye,60.8697,60.4153,48.06,75,98,2.15,RU,1658531426
470,tsuruga,35.6455,136.0558,75.06,87,82,8.66,JP,1658519789
471,mnogovershinnyy,53.9353,139.9242,70.27,33,59,5.08,RU,1658515107
472,itigi,-5.7,34.4833,57.52,72,5,8.72,TZ,1658548391
473,rawson,-43.3002,-65.1023,40.78,41,100,8.41,AR,1658490173
474,misratah,32.3754,15.0925,79.11,56,0,6.13,LY,1658549279
475,tatui,-23.3556,-47.8569,62.06,55,11,4.41,BR,1658483429
476,mankachar,25.5333,89.8667,82.54,81,100,5.17,IN,1658532150
477,komsomolskiy,40.4272,71.7189,79.52,34,0,4.61,UZ,1658534505
478,bonavista,48.6499,-53.1147,63.09,87,0,13.13,CA,1658476417
479,pilar,-9.5972,-35.9567,73.33,94,100,2.93,BR,1658479249
480,qui nhon,13.7667,109.2333,81.72,75,100,1.74,VN,1658528704
481,kavieng,-2.5744,150.7967,82.98,74,27,10.47,PG,1658520201
482,dauphin,51.1494,-100.0502,71.74,73,40,5.75,CA,1658487071
483,belaya gora,68.5333,146.4167,63.25,35,99,16.46,RU,1658502648
484,salalah,17.0151,54.0924,77.09,94,100,6.91,OM,1658541628
485,mazamet,43.49,2.373,71.26,64,100,10.36,FR,1658550625
486,hasaki,35.7333,140.8333,86.4,71,0,17.63,JP,1658518629
487,oussouye,12.485,-16.5469,76.14,94,100,12.68,SN,1658559018
488,rivadavia,-33.1905,-68.4608,55.6,36,7,2.1,AR,1658489497
489,aswan,24.0934,32.907,85.14,24,99,11.81,EG,1658545984
490,sao mateus,-18.7161,-39.8589,68.49,87,0,4.18,BR,1658481041
491,quetigny,47.3167,5.1167,67.95,68,0,5.75,FR,1658549201
492,alta gracia,-31.6529,-64.4283,56.7,72,38,3.15,AR,1658488338
493,kangaatsiaq,68.3065,-53.4641,42.94,95,100,9.6,GL,1658464616
494,batman,37.8874,41.1322,69.6,52,0,1.14,TR,1658542253
495,dalbandin,28.8947,64.4101,82.94,62,100,7.7,PK,1658537872
496,mbinga,-10.9333,35.0167,52.56,84,6,1.88,TZ,1658548731
497,kenai,60.5544,-151.2583,58.89,62,0,16.11,US,1658495936
498,xining,36.6167,101.7667,59.34,50,0,2.8,CN,1658527882
499,alice,27.7523,-98.0697,86.97,66,0,19.57,US,1658490585
500,vilhena,-12.7406,-60.1458,73.15,48,60,1.99,BR,1658485341
501,nome,64.5011,-165.4064,48.27,81,100,13.8,US,1658496761
502,riyadh,24.6877,46.7219,89.74,19,85,4.41,SA,1658542602
503,trincomalee,8.5711,81.2335,79.75,80,64,16.33,LK,1658535907
504,beloha,-25.1667,45.05,61.72,73,0,8.12,MG,1658547706
505,prainha,-1.8,-53.48,76.66,77,92,3.02,BR,1658482758
506,twentynine palms,34.1356,-116.0542,105.98,14,81,7.0,US,1658494093
507,baruun-urt,46.6806,113.2792,70.11,49,16,11.34,MN,1658523358
508,sulangan,11.1373,123.7228,83.05,76,100,4.14,PH,1658525473
509,deep river,46.1001,-77.4995,67.26,68,0,4.61,CA,1658482835
510,miles city,46.4083,-105.8406,95.97,9,0,13.8,US,1658489578
511,mengcheng,33.2579,116.5655,74.46,83,100,14.18,CN,1658524798
512,tomari,47.7658,142.0683,61.72,84,100,10.16,RU,1658516207
513,luganville,-15.5333,167.1667,82.71,77,71,11.1,VU,1658517443
514,sal rei,16.1833,-22.9167,76.1,78,88,3.62,CV,1658560195
515,necochea,-38.5473,-58.7368,43.0,91,20,6.78,AR,1658487893
516,nelson bay,-32.7167,152.15,64.22,69,1,1.99,AU,1658522878
517,kondinskoye,59.6481,67.41,51.48,69,47,8.05,RU,1658530356
518,vilela,41.2251,-7.6034,67.12,50,0,2.91,PT,1658553421
519,huilong,31.8111,121.655,90.93,78,17,7.36,CN,1658523765
520,kushiro,42.975,144.3747,59.95,100,75,13.8,JP,1658516615
521,chacabuco,-34.6417,-60.4739,54.82,77,5,8.1,AR,1658487768
522,sturgeon bay,44.8342,-87.377,84.45,51,75,6.91,US,1658485463
523,kempele,64.9131,25.5034,55.42,94,0,1.14,FI,1658537085
524,namibe,-15.1961,12.1522,62.17,82,0,4.29,AO,1658554609
525,feldkirchen an der donau,48.3452,14.0513,72.45,63,100,8.05,AT,1658546826
526,tambura,5.6,27.4667,66.63,99,67,3.96,SS,1658549079
527,skara,58.3866,13.4384,56.62,95,100,1.99,SE,1658543892
528,baley,51.6,116.6333,74.48,59,8,9.46,RU,1658521378
529,sobolevo,54.4299,31.8996,57.72,84,0,1.92,RU,1658540906
530,kurilsk,45.2333,147.8833,60.24,89,100,2.62,RU,1658515343
531,nueve de julio,-35.4444,-60.8831,50.68,66,70,8.19,AR,1658487973
532,karpathos,35.507,27.2132,73.36,83,0,19.57,GR,1658545944
533,peleduy,59.6289,112.7406,76.41,55,100,4.76,RU,1658519470
534,boueni,-12.9025,45.0761,71.58,67,0,15.21,YT,1658546496
535,bay roberts,47.5999,-53.2648,69.04,90,4,7.36,CA,1658476692
536,yavatmal,20.4,78.1333,72.21,94,100,9.08,IN,1658535517
537,fort nelson,58.8053,-122.7002,75.7,32,38,6.06,CA,1658489910
538,dakar,14.6937,-17.4441,76.08,83,100,11.45,SN,1658559025
539,bulgan,48.8125,103.5347,56.5,78,55,2.77,MN,1658525225
